order_id,customer_name,product,quantity,price,order_date,country,total_amount,discount,final_amount
1,ANDREW CHOI,USB Cable,9,254.16,2024-03-03,Japan,2287.44,0.1,2058.696
2,LOUIS MCCLURE,Mouse,10,162.17,2024-02-24,UK,1621.6999999999998,0.1,1459.53
3,TRACY WEST,Monitor,4,299.8,2024-08-01,UK,1199.2,0.0,1199.2
4,BLAKE PEREZ,Monitor,2,378.38,2024-04-17,UK,756.76,0.0,756.76
5,MELODY SMITH,Laptop,4,157.07,2024-09-03,USA,628.28,0.0,628.28
6,JAMIE NEAL MD,Monitor,5,393.03,2024-03-11,UK,1965.1499999999999,0.0,1965.1499999999999
7,JOSE CARROLL,Mouse,4,367.23,2024-09-06,UK,1468.92,0.0,1468.92
8,JENNIFER MOORE,Laptop,5,322.74,2024-08-26,Germany,1613.7,0.0,1613.7
9,JAMES VARGAS,Monitor,2,197.61,2024-08-18,Japan,395.22,0.0,395.22
10,JASON CRAIG,USB Cable,7,296.59,2024-09-05,Germany,2076.1299999999997,0.1,1868.5169999999998
11,BRIAN VALENCIA,Monitor,8,260.91,2024-03-29,USA,2087.28,0.1,1878.5520000000001
12,GABRIELA MONROE,Monitor,6,148.15,2024-12-21,Germany,888.9000000000001,0.1,800.0100000000001
13,JENNIFER MILLS,Monitor,4,498.1,2024-12-06,Germany,1992.4,0.0,1992.4
14,KRYSTAL GEORGE,Monitor,6,179.28,2024-01-03,USA,1075.68,0.1,968.1120000000001
15,MARK BUCHANAN,Mouse,9,110.52,2024-05-04,Germany,994.68,0.1,895.212
16,KATHY JENSEN MD,Keyboard,4,122.95,2024-11-17,France,491.8,0.0,491.8
17,LEE HOPKINS,Laptop,3,411.09,2024-01-25,Germany,1233.27,0.0,1233.27
18,AMANDA COHEN,USB Cable,8,296.47,2024-09-18,Germany,2371.76,0.1,2134.5840000000003
19,DONNA DAVIS,Keyboard,7,334.61,2024-05-12,USA,2342.27,0.1,2108.043
20,GINA GIBSON,USB Cable,8,463.0,2024-06-22,USA,3704.0,0.1,3333.6
21,SHELLY MACIAS,Mouse,10,247.74,2024-11-09,USA,2477.4,0.1,2229.6600000000003
22,JENNIFER JACKSON,USB Cable,1,73.04,2024-04-29,UK,73.04,0.0,73.04
23,KEITH BAUER,Monitor,5,229.43,2024-07-06,Germany,1147.15,0.0,1147.15
24,JUSTIN WEAVER,Mouse,4,419.42,2024-05-02,USA,1677.68,0.0,1677.68
25,CYNTHIA HUGHES,Laptop,5,114.99,2024-12-04,France,574.9499999999999,0.0,574.9499999999999
26,THOMAS TURNER,Mouse,3,100.18,2024-11-10,France,300.54,0.0,300.54
27,RICHARD SMITH,USB Cable,10,330.18,2024-08-17,Germany,3301.8,0.1,2971.6200000000003
28,AMY BROOKS,USB Cable,6,114.39,2024-08-26,France,686.34,0.1,617.706
29,MIA CURTIS,Mouse,1,123.61,2024-02-23,Germany,123.61,0.0,123.61
30,ALICIA GOOD,Monitor,9,234.15,2024-08-02,Germany,2107.35,0.1,1896.615
